family,genus,species,utm_zone,utm_x,utm_y,elev_m,coll_date
Asteraceae,Erigeron,leibergii,10.0,646653.0,5368218.0,1100.0,2002-08-10
Asteraceae,Erigeron,leibergii,10.0,646653.0,5368218.0,1100.0,2002-08-10
Brassicaceae,Arabis,holboellii,10.0,646653.0,5368218.0,1100.0,2002-08-10
Juncaceae,Juncus,drummondii,10.0,646066.0,5371376.0,1450.0,2002-08-10
Juncaceae,Juncus,drummondii,10.0,646066.0,5371376.0,1450.0,2002-08-10
Asteraceae,Solidago,canadensis,10.0,646113.0,5370027.0,1142.0,2002-08-10
Asteraceae,Solidago,canadensis,10.0,646113.0,5370027.0,1142.0,2002-08-10
Asteraceae,Solidago,canadensis,10.0,646113.0,5370027.0,1142.0,2002-08-10
Apiaceae,Lomatium,brandegei,10.0,646113.0,5370027.0,1142.0,2002-08-10
Asteraceae,Hieracium,albiflorum,10.0,646653.0,5368218.0,1100.0,2002-08-10
Asteraceae,Hieracium,albiflorum,10.0,646653.0,5368218.0,1100.0,2002-08-10
Asteraceae,Hieracium,albiflorum,10.0,646653.0,5368218.0,1100.0,2002-08-10
Taxaceae,Taxus,brevifolia,10.0,646653.0,5368218.0,1100.0,2002-08-10
Taxaceae,Taxus,brevifolia,10.0,646653.0,5368218.0,1100.0,2002-08-10
Taxaceae,Taxus,brevifolia,10.0,646653.0,5368218.0,1100.0,2002-08-10
Poaceae,Glyceria,elata,10.0,646653.0,5368218.0,1100.0,2002-08-10
Poaceae,Glyceria,elata,10.0,646653.0,5368218.0,1100.0,2002-08-10
Poaceae,Glyceria,elata,10.0,646653.0,5368218.0,1100.0,2002-08-10
Rosaceae,Sorbus,scopulina,10.0,646653.0,5368218.0,1100.0,2002-08-10
Rosaceae,Sorbus,scopulina,10.0,646653.0,5368218.0,1100.0,2002-08-10
Rosaceae,Sorbus,scopulina,10.0,646653.0,5368218.0,1100.0,2002-08-10
Caprifoliaceae,Lonicera,involucrata,10.0,646653.0,5368218.0,1100.0,2002-08-10
Caprifoliaceae,Lonicera,involucrata,10.0,646653.0,5368218.0,1100.0,2002-08-10
Caprifoliaceae,Lonicera,involucrata,10.0,646653.0,5368218.0,1100.0,2002-08-10
Dryopteridaceae,Athyrium,distentifolium,10.0,646066.0,5371376.0,1450.0,2002-08-10
Dryopteridaceae,Athyrium,distentifolium,10.0,646066.0,5371376.0,1450.0,2002-08-10
Dryopteridaceae,Athyrium,distentifolium,10.0,646066.0,5371376.0,1450.0,2002-08-10
Hydrophyllaceae,Phacelia,hastata,10.0,646066.0,5371376.0,1450.0,2002-08-10
Hydrophyllaceae,Phacelia,hastata,10.0,646066.0,5371376.0,1450.0,2002-08-10
Hydrophyllaceae,Phacelia,hastata,10.0,646066.0,5371376.0,1450.0,2002-08-10
Cyperaceae,Carex,pachystachya,10.0,646066.0,5371376.0,1450.0,2002-08-10
Cyperaceae,Carex,pachystachya,10.0,646066.0,5371376.0,1450.0,2002-08-10
Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
Asteraceae,Artemisia,ludoviciana,10.0,646066.0,5371376.0,1450.0,2002-08-10
Asteraceae,Agoseris,aurantiaca,10.0,646066.0,5371376.0,1450.0,2002-08-10
Grossulariaceae,Ribes,howellii,10.0,646066.0,5371376.0,1450.0,2002-08-10
Grossulariaceae,Ribes,howellii,10.0,646066.0,5371376.0,1450.0,2002-08-10
Grossulariaceae,Ribes,howellii,10.0,646066.0,5371376.0,1450.0,2002-08-10
Onagraceae,Epilobium,alpinum,10.0,646066.0,5371376.0,1450.0,2002-08-10
Onagraceae,Epilobium,alpinum,10.0,646066.0,5371376.0,1450.0,2002-08-10
Portulacaceae,Claytonia,lanceolata,10.0,646066.0,5371376.0,1450.0,2002-08-10
Rubiaceae,Galium,triflorum,10.0,646066.0,5371376.0,1450.0,2002-08-10
